Total lessons: 113

Module: Week1 (ID: 3ff93e10-4158-4e4f-b177-d4de82d461e3)
  Lesson ID: 32bd14d3-4985-4b3b-89ad-8f65a98b66f3 | sort_order: 0 | Title: #1 Machine Learning Specialization [Course 1, Week 1, Lesson 1].mp4 | Created At: 2026-05-15 10:45:24.375396
  Lesson ID: f82da75a-9c93-46bb-a0c7-db9d3fd3330d | sort_order: 0 | Title: #2 Machine Learning Specialization [Course 1, Week 1, Lesson 1].mp4 | Created At: 2026-05-15 10:48:18.692383
  Lesson ID: a998850d-32cf-45ca-b283-5830149f44e6 | sort_order: 0 | Title: #3 Machine Learning Specialization [Course 1, Week 1, Lesson 2].mp4 | Created At: 2026-05-15 10:48:44.101475
  Lesson ID: 4e38cbfb-3916-44dd-a58f-b703646bb06c | sort_order: 0 | Title: #4 Machine Learning Specialization [Course 1, Week 1, Lesson 2].mp4 | Created At: 2026-05-15 10:49:21.933356
  Lesson ID: 33a796e7-45f1-49d2-b532-12a4d4988b2f | sort_order: 0 | Title: #5 Machine Learning Specialization [Course 1, Week 1, Lesson 2].mp4 | Created At: 2026-05-15 10:53:14.052381
  Lesson ID: faa08165-842f-4f9e-85e9-fc43f6951785 | sort_order: 0 | Title: #6 Machine Learning Specialization [Course 1, Week 1, Lesson 2].mp4 | Created At: 2026-05-15 10:53:21.818093
  Lesson ID: 94c0ca8e-2a1a-4d6a-8b59-c3202a51e237 | sort_order: 0 | Title: #7 Machine Learning Specialization [Course 1, Week 1, Lesson 2].mp4 | Created At: 2026-05-15 10:53:28.960418
  Lesson ID: e7c72da9-5004-434a-ac98-8b62f24c76b5 | sort_order: 0 | Title: #8 Machine Learning Specialization [Course 1, Week 1, Lesson 2].mp4 | Created At: 2026-05-15 10:53:50.148678
  Lesson ID: 94940322-5586-4b8c-9a26-3df366ce13c1 | sort_order: 0 | Title: #9 Machine Learning Specialization [Course 1, Week 1, Lesson 3].mp4 | Created At: 2026-05-15 10:53:57.067850
  Lesson ID: eb186666-214f-4052-b59c-25f954b7c6fd | sort_order: 0 | Title: #10 Machine Learning Specialization [Course 1, Week 1, Lesson 3].mp4 | Created At: 2026-05-15 10:54:03.294140
  Lesson ID: c549a9f7-2f0d-409e-af39-967bbdfc164f | sort_order: 0 | Title: #11 Machine Learning Specialization [Course 1, Week 1, Lesson 3].mp4 | Created At: 2026-05-15 10:54:19.870001
  Lesson ID: c7ee67bd-a4c3-4a56-8504-57beccb9ba1e | sort_order: 0 | Title: #12 Machine Learning Specialization [Course 1, Week 1, Lesson 3].mp4 | Created At: 2026-05-15 10:54:31.008422
  Lesson ID: 5035376a-bee4-4331-940e-cc3a69ceb6cd | sort_order: 0 | Title: #13 Machine Learning Specialization [Course 1, Week 1, Lesson 3].mp4 | Created At: 2026-05-15 10:55:15.098034
  Lesson ID: 2ce4fad3-84ad-442f-bc2c-1818e4306828 | sort_order: 0 | Title: #15 Machine Learning Specialization [Course 1, Week 1, Lesson 4].mp4 | Created At: 2026-05-15 12:02:45.734794
  Lesson ID: 20cd5fbe-63c5-4cb7-9b9c-ce9ecb9726c7 | sort_order: 0 | Title: #16 Machine Learning Specialization [Course 1, Week 1, Lesson 4].mp4 | Created At: 2026-05-15 12:02:53.421265
  Lesson ID: 1fc8ece0-d14d-4b63-bb7d-a29056c55c51 | sort_order: 0 | Title: #17 Machine Learning Specialization [Course 1, Week 1, Lesson 4].mp4 | Created At: 2026-05-15 12:03:00.528835
  Lesson ID: 7abf8219-9141-49a1-a916-d020cf0acea6 | sort_order: 0 | Title: #18 Machine Learning Specialization [Course 1, Week 1, Lesson 4].mp4 | Created At: 2026-05-15 12:03:08.482098
  Lesson ID: 2d784f53-3f0e-48d3-93d6-ba19a6a5af94 | sort_order: 0 | Title: #19 Machine Learning Specialization [Course 1, Week 1, Lesson 4].mp4 | Created At: 2026-05-15 12:03:15.124295
  Lesson ID: 0f1cf0d0-e323-4036-843e-8fed3237f4ea | sort_order: 0 | Title: #20 Machine Learning Specialization [Course 1, Week 1, Lesson 4].mp4 | Created At: 2026-05-15 12:03:23.105709

Module: Week 1 (ID: 4b53f9cd-881f-4794-9c8d-ab32b4aed01e)
  Lesson ID: b7204102-04fa-4387-93ac-cbf0ad1e5a54 | sort_order: 0 | Title: C4W1L01 Computer Vision.mp4 | Created At: 2026-05-15 11:56:57.969755
  Lesson ID: 9ef92ff7-6622-46ad-86e1-4bbd8d22ab5b | sort_order: 0 | Title: C4W1L02 Edge Detection Examples.mp4 | Created At: 2026-05-15 11:57:22.323885
  Lesson ID: 00c459cf-8727-412e-b214-e9f41e6b485e | sort_order: 0 | Title: C4W1L03 More Edge Detection.mp4 | Created At: 2026-05-15 11:57:28.938470
  Lesson ID: 3a4e28fc-2b06-4138-b8cb-7e0955c6b99c | sort_order: 0 | Title: C4W1L04 Padding.mp4 | Created At: 2026-05-15 11:57:38.783022
  Lesson ID: c9a64594-a791-4b18-9646-5cfb85afab70 | sort_order: 0 | Title: C4W1L05 Strided Convolutions.mp4 | Created At: 2026-05-15 11:57:44.752715
  Lesson ID: 4fe29651-16f3-4715-8852-ae04e3420456 | sort_order: 0 | Title: C4W1L06 Convolutions Over Volumes.mp4 | Created At: 2026-05-15 11:57:51.913321
